MPN	SE_NAME	COM_ID	COM_PARTNUM	se_manname	Scrubbing_Status
3330	Adafruit Industries	64649691	3330	Keystone Electronics Corp	Need Scrubbing
3330	Adafruit Industries	51470923	3330	"Leviton Manufacturing Co., Inc"	Need Scrubbing
3330	Adafruit Industries	44556915	3330	Dwyer Instruments	Need Scrubbing
3330	Adafruit Industries	44508335	3330	Heyco Products	Need Scrubbing
3330	Adafruit Industries	57617326	3330	AMETEK, Inc	Need Scrubbing
3330	Adafruit Industries	411542146	3330	"Pelican Products, Inc"	Need Scrubbing
3269	Adafruit Industries	19777099	3269	Pomona Electronics	Need Scrubbing
3243	Adafruit Industries	21595559	3243	Alpha Wire	Need Scrubbing
3243	Adafruit Industries	21354204	3243	Heyco Products	Need Scrubbing
3243	Adafruit Industries	425701897	3243	Klein Tools	Need Scrubbing
3243	Adafruit Industries	406589178	3243	Schneider Electric	Need Scrubbing
3249	Adafruit Industries	21354206	3249	Heyco Products	Need Scrubbing
3249	Adafruit Industries	49115638	3249	Schneider Electric	Need Scrubbing
3114	Adafruit Industries	413519768	3114	KR Electronics	Need Scrubbing
3114	Adafruit Industries	52802013	3114	"Visual Communications Company, LLC"	Need Scrubbing
3114	Adafruit Industries	16055712	3114	CML Innovative Technologies	Need Scrubbing
3114	Adafruit Industries	417484269	3114	Middle Atlantic Products	Need Scrubbing
3114	Adafruit Industries	20166450	3114	Keystone Electronics Corp	Need Scrubbing
3114	Adafruit Industries	64327083	3114	ABB Installation Products, Inc	Need Scrubbing
3114	Adafruit Industries	67739321	3114	80/20 Inc	Need Scrubbing
3114	Adafruit Industries	44182860	3114	Heyco Products	Need Scrubbing
3114	Adafruit Industries	64327083	3114	"ABB Installation Products, Inc"	Need Scrubbing
3096	Adafruit Industries	405952205	3096	L3Harris Narda-MITEQ	Need Scrubbing
3096	Adafruit Industries	44981642	3096	Heyco Products	Need Scrubbing
3096	Adafruit Industries	95256713	3096	80/20 Inc	Need Scrubbing
3096	Adafruit Industries	405511304	3096	Abbatron	Need Scrubbing
3096	Adafruit Industries	424124423	3096	"Sugatsune Kogyo Co., Ltd"	Need Scrubbing
3096	Adafruit Industries	52377317	3096	Keystone Electronics Corp	Need Scrubbing
3044	Adafruit Industries	62226866	3044	Keystone Electronics Corp	Need Scrubbing
3044	Adafruit Industries	425780752	3044	Brady Corporation	Need Scrubbing
3044	Adafruit Industries	77800463	3044	80/20 Inc	Need Scrubbing
3044	Adafruit Industries	78998746	3044	C2G	Need Scrubbing
3044	Adafruit Industries	41947495	3044	Heyco Products	Need Scrubbing
4110	Adafruit Industries	52802383	4110	"Visual Communications Company, LLC"	Need Scrubbing
4110	Adafruit Industries	24301608	4110	CML Innovative Technologies	Need Scrubbing
4110	Adafruit Industries	414373082	4110	Bals Elektrotechnik GmbH & Co. KG	Need Scrubbing
4110	Adafruit Industries	43285014	4110	Mennekes	Need Scrubbing
4013	Adafruit Industries	404320275	4013	Morton Machine Works	Need Scrubbing
4013	Adafruit Industries	83993043	4013	Heyco Products	Need Scrubbing
4013	Adafruit Industries	405510959	4013	Abbatron	Need Scrubbing
4013	Adafruit Industries	48360414	4013	Keystone Electronics Corp	Need Scrubbing
4013	Adafruit Industries	409218878	4013	80/20 Inc	Need Scrubbing
4013	Adafruit Industries	1846017278	4013	Blue Sea Systems	Need Scrubbing
4013	Adafruit Industries	36897052	4013	3M	Need Scrubbing
4096	Adafruit Industries	44793547	4096	Keystone Electronics Corp	Need Scrubbing
4109	Adafruit Industries	44793546	4109	Keystone Electronics Corp	Need Scrubbing
4109	Adafruit Industries	37267356	4109	Avery Dennison	Need Scrubbing
4107	Adafruit Industries	414373080	4107	Bals Elektrotechnik GmbH & Co. KG	Need Scrubbing
4108	Adafruit Industries	414372468	4108	Bals Elektrotechnik GmbH & Co. KG	Need Scrubbing
4108	Adafruit Industries	74829200	4108	80/20 Inc	Need Scrubbing
4108	Adafruit Industries	417918102	4108	3M	Need Scrubbing
4108	Adafruit Industries	44793545	4108	Keystone Electronics Corp	Need Scrubbing
4108	Adafruit Industries	407792536	4108	Allied Wire & Cable	Need Scrubbing
4041	Adafruit Industries	405510980	4041	Abbatron	Need Scrubbing
4041	Adafruit Industries	409217470	4041	80/20 Inc	Need Scrubbing
4041	Adafruit Industries	62570336	4041	"ABB Installation Products, Inc"	Need Scrubbing
4041	Adafruit Industries	62570336	4041	ABB Installation Products, Inc	Need Scrubbing
4041	Adafruit Industries	404320299	4041	Morton Machine Works	Need Scrubbing
4099	Adafruit Industries	406272762	4099	Littelfuse	Need Scrubbing
4030	Adafruit Industries	405510970	4030	Abbatron	Need Scrubbing
4030	Adafruit Industries	69134043	4030	B&K Precision	Need Scrubbing
4030	Adafruit Industries	36024110	4030	3M	Need Scrubbing
4030	Adafruit Industries	62138023	4030	Heyco Products	Need Scrubbing
4030	Adafruit Industries	409217452	4030	80/20 Inc	Need Scrubbing
4028	Adafruit Industries	62138049	4028	Heyco Products	Need Scrubbing
4028	Adafruit Industries	96178758	4028	Minor Rubber	Need Scrubbing
4028	Adafruit Industries	62327704	4028	Molex	Need Scrubbing
4028	Adafruit Industries	405510968	4028	Abbatron	Need Scrubbing
4028	Adafruit Industries	409217446	4028	80/20 Inc	Need Scrubbing
4103	Adafruit Industries	414157964	4103	VARTA AG	Need Scrubbing
4103	Adafruit Industries	32991403	4103	Aavid Thermalloy	Need Scrubbing
1028	Adafruit Industries	73610652	1028	StayOnline	Need Scrubbing
1028	Adafruit Industries	32987610	1028	Keystone Electronics Corp	Need Scrubbing
1028	Adafruit Industries	44508575	1028	Heyco Products	Need Scrubbing
1028	Adafruit Industries	411035311	1028	Belden	Need Scrubbing
2770	Adafruit Industries	44981707	2770	Heyco Products	Need Scrubbing
2770	Adafruit Industries	41212028	2770	Panacol-Elosol	Need Scrubbing
2770	Adafruit Industries	55482894	2770	Marco Rubber & Plastics	Need Scrubbing
2770	Adafruit Industries	413519073	2770	KR Electronics	Need Scrubbing
2770	Adafruit Industries	51471802	2770	"Leviton Manufacturing Co., Inc"	Need Scrubbing
2770	Adafruit Industries	55337824	2770	"Bolt Depot, Inc"	Need Scrubbing
2770	Adafruit Industries	26895085	2770	Daburn Electronics & Cable	Need Scrubbing
2770	Adafruit Industries	414365652	2770	Bals Elektrotechnik GmbH & Co. KG	Need Scrubbing
2540	Adafruit Industries	76392049	2540	Heyco Products	Need Scrubbing
2540	Adafruit Industries	57519281	2540	Emerson	Need Scrubbing
2540	Adafruit Industries	43706010	2540	B&K Precision	Need Scrubbing
2540	Adafruit Industries	26957973	2540	Daburn Electronics & Cable	Need Scrubbing
2578	Adafruit Industries	44979211	2578	Heyco Products	Need Scrubbing
2578	Adafruit Industries	75637758	2578	SPC Technology	Need Scrubbing
2578	Adafruit Industries	75750709	2578	Pro-Power	Need Scrubbing
3931	Adafruit Industries	62212287	3931	Heyco Products	Need Scrubbing
3931	Adafruit Industries	95258430	3931	80/20 Inc	Need Scrubbing
3936	Adafruit Industries	1846425816	3936	American Beauty Soldering Tools	Need Scrubbing
3945	Adafruit Industries	95258454	3945	80/20 Inc	Need Scrubbing
3945	Adafruit Industries	422033662	3945	Vogt AG Verbindungstechnik	Need Scrubbing
3949	Adafruit Industries	37941243	3949	"ABB Installation Products, Inc"	Need Scrubbing
3949	Adafruit Industries	57524199	3949	SPC Technology	Need Scrubbing
3949	Adafruit Industries	61013471	3949	Multicomp Pro	Need Scrubbing
3949	Adafruit Industries	37941243	3949	ABB Installation Products, Inc	Need Scrubbing
3957	Adafruit Industries	408972834	3957	80/20 Inc	Need Scrubbing
3957	Adafruit Industries	19764324	3957	Pomona Electronics	Need Scrubbing
3957	Adafruit Industries	47878034	3957	Kontron	Need Scrubbing
3957	Adafruit Industries	49115642	3957	Schneider Electric	Need Scrubbing
3961	Adafruit Industries	57448238	3961	SPC Technology	Need Scrubbing
3961	Adafruit Industries	37941244	3961	ABB Installation Products, Inc	Need Scrubbing
3961	Adafruit Industries	68507831	3961	Multicomp Pro	Need Scrubbing
3961	Adafruit Industries	409219177	3961	80/20 Inc	Need Scrubbing
3961	Adafruit Industries	37941244	3961	"ABB Installation Products, Inc"	Need Scrubbing
3982	Adafruit Industries	61096644	3982	Multicomp Pro	Need Scrubbing
3982	Adafruit Industries	57524192	3982	SPC Technology	Need Scrubbing
3982	Adafruit Industries	420270474	3982	StayOnline	Need Scrubbing
106FXE2-SC-15	Advantech	98095961	106FXE2-SC-15	Red Lion Controls	Need Scrubbing
308TX-N	Advantech	64595607	308TX-N	Red Lion Controls	Need Scrubbing
304TX	Advantech	46320166	304TX	Red Lion Controls	Need Scrubbing
709FXE-ST-15	Advantech	98096131	709FXE-ST-15	Red Lion Controls	Need Scrubbing
RJBG17946	Advantech	60371304	RJBG17946	Molex	Need Scrubbing
M12DRC-ISO	Advantech	98628465	M12DRC-ISO	Red Lion Controls	Need Scrubbing
NTPS-24-3	Advantech	45885482	NTPS-24-3	Red Lion Controls	Need Scrubbing
105-413	Altech Corporation	63371129	105-413	Mitutoyo	Need Scrubbing
741-402	Altech Corporation	408018696	741-402	WAGO Kontakttechnik GmbH & Co. KG	Need Scrubbing
741-404	Altech Corporation	408018712	741-404	WAGO Kontakttechnik GmbH & Co. KG	Need Scrubbing
SUL842070	Altech Corporation	62137932	SUL842070	Celduc Relais	Need Scrubbing
STD03505	Altech Corporation	13543178	STD03505	Celduc Relais	Need Scrubbing
SO869970	Altech Corporation	21900955	SO869970	Celduc Relais	Need Scrubbing
M53	Altech Corporation	30698523	M53	TE Connectivity	Need Scrubbing
M53	Altech Corporation	39001748	M53	MACOM Technology Solutions	Need Scrubbing
M53	Altech Corporation	413958586	M53	Vlier Inc	Need Scrubbing
CP4	Altech Corporation	61522693	CP4	Continental Device India Limited	Need Scrubbing
C2	Altech Corporation	49128992	C2	Schneider Electric	Need Scrubbing
C2	Altech Corporation	101839625	C2	"MEM-CO. FITTINGS, INC"	Need Scrubbing
PLA13730	Altech Corporation	19821782	PLA13730	Celduc Relais	Need Scrubbing
RM84-2012-35-1006	Altech Corporation	414178904	RM84-2012-35-1006	Relpol S.A.	Need Scrubbing
RM85-5021-25-1024	Altech Corporation	56365560	RM85-5021-25-1024	Relpol S.A.	Need Scrubbing
RM84-2012-35-1060	Altech Corporation	414178883	RM84-2012-35-1060	Relpol S.A.	Need Scrubbing
29121	Altech Corporation	86190076	29121	C2G	Need Scrubbing
29121	Altech Corporation	65628887	29121	Schneider Electric	Need Scrubbing
29121	Altech Corporation	48066952	29121	Parallax Incorporated	Need Scrubbing
29121	Altech Corporation	68850027	29121	HELUKABEL	Need Scrubbing
29133	Altech Corporation	414010366	29133	C2G	Need Scrubbing
29133	Altech Corporation	64439027	29133	Parallax Incorporated	Need Scrubbing
29133	Altech Corporation	98979419	29133	Schneider Electric	Need Scrubbing
29133	Altech Corporation	44614130	29133	HELUKABEL	Need Scrubbing
29655	Altech Corporation	54631041	29655	Schneider Electric	Need Scrubbing
216-425	Altech Corporation	416619773	216-425	WAGO Kontakttechnik GmbH & Co. KG	Need Scrubbing
1479090	Altech Corporation	419861463	1479090	ABL SURSUM	Need Scrubbing
1149190	Altech Corporation	424377238	1149190	ABL SURSUM	Need Scrubbing
172318	Amphenol	426098328	172318	Eaton	Need Scrubbing
56146	Amphenol	55327830	56146	Schneider Electric	Need Scrubbing
803125	Amphenol	45248803	803125	Henkel	Need Scrubbing
803128	Amphenol	45248806	803128	Henkel	Need Scrubbing
BACC47CN1S	Amphenol	85641884	BACC47CN1S	Carlisle Interconnect Technologies	Need Scrubbing
BACC63CT21-78PNH	Amphenol	406101883	BACC63CT21-78PNH	SOURIAU	Need Scrubbing
MS3450W22-14PW-LC	Amphenol	49710443	MS3450W22-14PW-LC	Aero-Electric Connector	Need Scrubbing
MS25043-40D	Amphenol	31054185	MS25043-40D	Glenair	Need Scrubbing
MS25043-40D	Amphenol	408278273	MS25043-40D	Aero-Electric Connector	Need Scrubbing
MS25043-40D	Amphenol	408278274	MS25043-40D	Spacecraft Components	Need Scrubbing
M85049/9-8N	Amphenol	30984435	M85049/9-8N	Glenair	Need Scrubbing
M85049/93-10	Amphenol	31053952	M85049/93-10	Glenair	Need Scrubbing
M85049/93-10	Amphenol	408023147	M85049/93-10	TE Connectivity	Need Scrubbing
M85049/93-20	Amphenol	31053957	M85049/93-20	Glenair	Need Scrubbing
M85049/93-26	Amphenol	31053960	M85049/93-26	Glenair	Need Scrubbing
M85049/90-21Z03	Amphenol	407304338	M85049/90-21Z03	TE Connectivity	Need Scrubbing
M85049/90-21Z03	Amphenol	418211562	M85049/90-21Z03	Glenair	Need Scrubbing
M85049/91-21T	Amphenol	31053915	M85049/91-21T	Glenair	Need Scrubbing
M85049/92-09T	Amphenol	31053924	M85049/92-09T	Glenair	Need Scrubbing
M85049/92-13T	Amphenol	31053930	M85049/92-13T	Glenair	Need Scrubbing
M85049/92-17T	Amphenol	31053936	M85049/92-17T	Glenair	Need Scrubbing
M85049/92-21T	Amphenol	31053942	M85049/92-21T	Glenair	Need Scrubbing
M85049/90-19W03	Amphenol	101817487	M85049/90-19W03	TE Connectivity	Need Scrubbing
M85049/90-19W03	Amphenol	30984196	M85049/90-19W03	Glenair	Need Scrubbing
M85049/90-11Z03	Amphenol	418212381	M85049/90-11Z03	Glenair	Need Scrubbing
M85049/90-11Z03	Amphenol	408964530	M85049/90-11Z03	TE Connectivity	Need Scrubbing
M85049/91-15T	Amphenol	31053906	M85049/91-15T	Glenair	Need Scrubbing
M85049/91-13T	Amphenol	31053903	M85049/91-13T	Glenair	Need Scrubbing
M85049/14S23N	Amphenol	30979343	M85049/14S23N	Glenair	Need Scrubbing
M85049/39S23A	Amphenol	31053130	M85049/39S23A	Glenair	Need Scrubbing
M85049/124-09Z	Amphenol	425595851	M85049/124-09Z	Glenair	Need Scrubbing
M85049/89-11N03	Amphenol	30984024	M85049/89-11N03	Glenair	Need Scrubbing
M85049/42-24DW	Amphenol	30982269	M85049/42-24DW	Glenair	Need Scrubbing
M85049/60-2G22N	Amphenol	31053478	M85049/60-2G22N	Glenair	Need Scrubbing
M85049/1813N02	Amphenol	30979710	M85049/1813N02	Glenair	Need Scrubbing
M85049/39S13A	Amphenol	31053110	M85049/39S13A	Glenair	Need Scrubbing
M85049/60-2G20A	Amphenol	31053474	M85049/60-2G20A	Glenair	Need Scrubbing
M85049/123-10Z	Amphenol	95925000	M85049/123-10Z	Glenair	Need Scrubbing
M85049/8-6N	Amphenol	30983890	M85049/8-6N	Glenair	Need Scrubbing
M85049/38S21A	Amphenol	30982065	M85049/38S21A	Glenair	Need Scrubbing
M85049/8-4N	Amphenol	30983837	M85049/8-4N	Glenair	Need Scrubbing
M85049/39-23A	Amphenol	31053094	M85049/39-23A	Glenair	Need Scrubbing
M85049/2920W08A	Amphenol	30981348	M85049/2920W08A	Glenair	Need Scrubbing
M85049/78-21W03	Amphenol	31053646	M85049/78-21W03	Glenair	Need Scrubbing
M85049/14-21N	Amphenol	67165748	M85049/14-21N	Glenair	Need Scrubbing
M85049/14-25N	Amphenol	67165751	M85049/14-25N	Glenair	Need Scrubbing
M85049/1923W08	Amphenol	30980153	M85049/1923W08	Glenair	Need Scrubbing
M85049/27S16N	Amphenol	30981118	M85049/27S16N	Glenair	Need Scrubbing
M85049/76-08N01	Amphenol	30983466	M85049/76-08N01	Glenair	Need Scrubbing
M85049/3620W03	Amphenol	30981735	M85049/3620W03	Glenair	Need Scrubbing
M85049/78-21N04	Amphenol	31053641	M85049/78-21N04	Glenair	Need Scrubbing
M85049/14-11W	Amphenol	67165742	M85049/14-11W	Glenair	Need Scrubbing
M85049/14-17W	Amphenol	67165746	M85049/14-17W	Glenair	Need Scrubbing
M85049/2916A04	Amphenol	30981214	M85049/2916A04	Glenair	Need Scrubbing
M85049/78-19N07	Amphenol	31053634	M85049/78-19N07	Glenair	Need Scrubbing
M85049/189N02	Amphenol	30979959	M85049/189N02	Glenair	Need Scrubbing
M85049/189N02	Amphenol	413334081	M85049/189N02	SUNBANK	Need Scrubbing
M85049/24-8N	Amphenol	30980682	M85049/24-8N	Glenair	Need Scrubbing
M85049/76-12W02	Amphenol	30983481	M85049/76-12W02	Glenair	Need Scrubbing
M85049/2914W04	Amphenol	30981204	M85049/2914W04	Glenair	Need Scrubbing
M85049/2920N06	Amphenol	30981318	M85049/2920N06	Glenair	Need Scrubbing
M85049/1825N07A	Amphenol	30979914	M85049/1825N07A	Glenair	Need Scrubbing
M85049/2914N05A	Amphenol	30981195	M85049/2914N05A	Glenair	Need Scrubbing
M85049/31-28N	Amphenol	30981525	M85049/31-28N	Glenair	Need Scrubbing
M85049/6-7N	Amphenol	30983332	M85049/6-7N	Glenair	Need Scrubbing
M85049/23-9N	Amphenol	30980521	M85049/23-9N	Glenair	Need Scrubbing
M85049/2924W05	Amphenol	30981458	M85049/2924W05	Glenair	Need Scrubbing
M85049/126-25Z	Amphenol	425110961	M85049/126-25Z	Glenair	Need Scrubbing
M85049/1915N04A	Amphenol	30979995	M85049/1915N04A	Glenair	Need Scrubbing
M85049/2912W02A	Amphenol	30981172	M85049/2912W02A	Glenair	Need Scrubbing
M85049/1817N03B	Amphenol	30979753	M85049/1817N03B	Glenair	Need Scrubbing
M85049/2922W05A	Amphenol	30981398	M85049/2922W05A	Glenair	Need Scrubbing
M85049/1823N04	Amphenol	30979857	M85049/1823N04	Glenair	Need Scrubbing
M85049/2912N03	Amphenol	30981167	M85049/2912N03	Glenair	Need Scrubbing
M85049/118-12Z	Amphenol	411230006	M85049/118-12Z	Glenair	Need Scrubbing
M85049/124S17Z	Amphenol	95925038	M85049/124S17Z	Glenair	Need Scrubbing
M85049/2922W08B	Amphenol	30981410	M85049/2922W08B	Glenair	Need Scrubbing
M85049/31S28N	Amphenol	30981576	M85049/31S28N	Glenair	Need Scrubbing
M85049/1925N07A	Amphenol	30980173	M85049/1925N07A	Glenair	Need Scrubbing
M85049/23-4W	Amphenol	30980386	M85049/23-4W	Glenair	Need Scrubbing
M85049/2910W02A	Amphenol	30981156	M85049/2910W02A	Glenair	Need Scrubbing
M85049/2918N07A	Amphenol	30981276	M85049/2918N07A	Glenair	Need Scrubbing
M83513/05-12	Amphenol	43873455	M83513/05-12	Glenair	Need Scrubbing
M83513/05-12	Amphenol	79027601	M83513/05-12	Airborn	Need Scrubbing
M83513/05-12	Amphenol	80152990	M83513/05-12	Cristek Interconnects	Need Scrubbing
M83513/05-12	Amphenol	46081644	M83513/05-12	TE Connectivity	Need Scrubbing
M83513/05-12	Amphenol	79953071	M83513/05-12	Min-E-Con	Need Scrubbing
M83513/05-12	Amphenol	47853174	M83513/05-12	ITT Inc	Need Scrubbing
M83513/05-05	Amphenol	80152992	M83513/05-05	Cristek Interconnects	Need Scrubbing
M83513/05-05	Amphenol	79027598	M83513/05-05	Airborn	Need Scrubbing
M83513/05-05	Amphenol	46160860	M83513/05-05	TE Connectivity	Need Scrubbing
M83513/05-05	Amphenol	79122142	M83513/05-05	Cinch Connectivity Solutions	Need Scrubbing
M83513/05-05	Amphenol	42607998	M83513/05-05	ITT Inc	Need Scrubbing
M83513/05-05	Amphenol	43873453	M83513/05-05	Glenair	Need Scrubbing
M83513/05-05	Amphenol	79953072	M83513/05-05	Min-E-Con	Need Scrubbing
M29504/14-4141C	Amphenol	65162979	M29504/14-4141C	KITCO Fiber Optics	Need Scrubbing
D38999/28-2W	Amphenol	87715132	D38999/28-2W	SOURIAU	Need Scrubbing
D38999/28-2W	Amphenol	87354474	D38999/28-2W	HIREL CONNECTORS	Need Scrubbing
D38999/28-2W	Amphenol	79119053	D38999/28-2W	TE Connectivity	Need Scrubbing
D38999/28-2W	Amphenol	30977321	D38999/28-2W	Glenair	Need Scrubbing
D38999/28-9F	Amphenol	79119123	D38999/28-9F	TE Connectivity	Need Scrubbing
D38999/28-9F	Amphenol	30977347	D38999/28-9F	Glenair	Need Scrubbing
D38999/28-9F	Amphenol	87351359	D38999/28-9F	SOURIAU	Need Scrubbing
VG95234E-14S-6SN	Amphenol	42586219	VG95234E-14S-6SN	ITT Inc	Need Scrubbing
VG96912L8	Amphenol	409268112	VG96912L8	ITT Inc	Need Scrubbing
VG96912A1035PN	Amphenol	409268662	VG96912A1035PN	ITT Inc	Need Scrubbing
VG96912B1035PN	Amphenol	51460130	VG96912B1035PN	ITT Inc	Need Scrubbing
VG96912B1235SN	Amphenol	47444919	VG96912B1235SN	ITT Inc	Need Scrubbing
VG96912D1035PN	Amphenol	48159718	VG96912D1035PN	ITT Inc	Need Scrubbing
VG96912D1035PN	Amphenol	37777840	VG96912D1035PN	SOURIAU	Need Scrubbing
VG96912D1098SN	Amphenol	48161759	VG96912D1098SN	ITT Inc	Need Scrubbing
VG96912D1235PN	Amphenol	48161398	VG96912D1235PN	ITT Inc	Need Scrubbing
VG96912D1435PN	Amphenol	47444480	VG96912D1435PN	ITT Inc	Need Scrubbing
VG95234KR20	Amphenol	76542282	VG95234KR20	ITT Inc	Need Scrubbing
VG96912D835PN	Amphenol	409268744	VG96912D835PN	ITT Inc	Need Scrubbing
VG96912D898SN	Amphenol	48163813	VG96912D898SN	ITT Inc	Need Scrubbing
VG96912L12	Amphenol	419751283	VG96912L12	SOURIAU	Need Scrubbing
VG96912L12	Amphenol	409268382	VG96912L12	ITT Inc	Need Scrubbing
VG96912L18	Amphenol	409268269	VG96912L18	ITT Inc	Need Scrubbing
VG95328D83ASN	Amphenol	45313274	VG95328D83ASN	ITT Inc	Need Scrubbing
