MPN	SE_MAN_NAME	MFG	CS_STATUS	SCRUB_STATUS	SCRUBBING_STANDARD_COMMENT	SCRUB_URL_COMMENT_ONLINE	SCRUB_URL_COMMENT_FILE_PATH	SCRUB_DS	SCRUB_DS_FILE_PATH	PRODUCT_URL PAGE	TAX_PATH	SE_PART	SE_SUPPLIER	SCRUBBING_ADDITIONAL_COMMENT	CUSTOMER_DESCRIPTION	SCRUB_DS_SOURCE	SCRUB_DS_FILE_TYPE	SCRUB_URL_COMMENT_SOURCE	SCRUB_URL_COMMENT_FILE_TYPE	SOURCING_TASKS_NAME	TRIGGER_Name	SCRUBBING_TASK
BC847B	0	0	Direct Match corrected supplier	Direct Match corrected supplier								BC847B	onsemi|ZOWIE Technology|Yangzhou Yangjie Electronic Technology Co., Ltd|Vishay|Transys Electronics|Topdiode Manufacturing Company|Texas Instruments|Taitron Components|STMicroelectronics|Rectron|ROHM Semiconductor|Nexperia|Multicomp Pro|Micro Commercial Components|LuGuang Electronic Tech.Co.,Ltd|KODENSHI AUK|KEC Group|Infineon Technologies AG|Guangndong Kexin Industrial|Good-Ark Semiconductor|Diotec Semiconductor AG|Diodes Incorporated|Continental Device India Limited|Central Semiconductor|Bruckewell Technology LTD|	Blank Man or Dummy Man						(CS_daily_Scrubbing)	Direct Match corrected supplier	Scrubbing Machine
BAV70	0	0	Direct Match corrected supplier	Direct Match corrected supplier								BAV70	onsemi|ZOWIE Technology|Yangzhou Yangjie Electronic Technology Co., Ltd|WEITRON TECHNOLOGY|Vishay|Transys Electronics|Toshiba|Surge Components|Sanken Electric Co., Ltd|SMC Diode Solutions Co. LTD|Rectron|ROHM Semiconductor|RFE International|Panasonic|Nexperia|Multicomp Pro|Micro Commercial Components|LuGuang Electronic Tech.Co.,Ltd|Lision Technology Inc|Keysight Technologies, Inc|Jiangsu Changjing Electronics Technology Co., Ltd|Invac|Infineon Technologies AG|Hitano Enterprise|Guangdong Hottech Industrial Co., Ltd|Good-Ark Semiconductor|Frontier Electronics|EIC Semiconductor|Diotec Semiconductor AG|Diodes Incorporated|Continental Device India Limited|Changzhou Galaxy Century Microelectronics Co.,Ltd|Allegro MicroSystems_QA|	Blank Man or Dummy Man						(CS_daily_Scrubbing)	Direct Match corrected supplier	Scrubbing Machine
"C918,"	0	0	Direct Match corrected supplier	Direct Match corrected supplier								C918	Eaton|	Blank Man or Dummy Man						(CS_daily_Scrubbing)	Direct Match corrected supplier	Scrubbing Machine
1-1734035-1	Littelfuse	TE C	Direct Match Corrected supplier	Direct Match Corrected supplier								1-1734035-1	TE Connectivity	Reverse_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
1992	A.D.A	ADAF	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
DST-6-36	0	RET-	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
LP-34-1400	0	RET-	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
MCP6002T-I/MS	Micron Technology	MICR	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
MF72-005D5	0	RET-	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
PE-65612NL	PULS GmbH	PULS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
